[00:00.000 --> 00:02.000]  Inna opcja?
[00:02.000 --> 00:04.000]  Poczekaj.
[00:04.000 --> 00:06.000]  Spadź.
[00:06.000 --> 00:08.000]  Spadź.
[00:08.000 --> 00:10.000]  Spadź.
[00:10.000 --> 00:12.000]  Myśl się.
[00:12.000 --> 00:14.000]  Czyli biorę prysznic.
[00:14.000 --> 00:16.000]  Czyli biorę prysznic.
[00:16.000 --> 00:18.000]  Ja tutaj geszałuję.
[00:18.000 --> 00:20.000]  Ok.
[00:20.000 --> 00:22.000]  Co jem?
[00:22.000 --> 00:24.000]  Co jem?
[00:24.000 --> 00:26.000]  Nr 2.
[00:26.000 --> 00:28.000]  Nr 2.
[00:28.000 --> 00:30.000]  Śniadzam.
[00:30.000 --> 00:32.000]  Śniadzam.
[00:32.000 --> 00:34.000]  Śniadzam.
[00:34.000 --> 00:36.000]  Idę.
[00:36.000 --> 00:38.000]  Idę.
[00:42.000 --> 00:44.000]  Do gdzie?
[00:44.000 --> 00:46.000]  Do łuki.
[00:46.000 --> 00:48.000]  To musiałoby być idę do.
[00:48.000 --> 00:50.000]  Do łuki.
[00:50.000 --> 00:52.000]  Idę.
[00:52.000 --> 00:54.000]  Idę.
[00:54.000 --> 00:56.000]  Do łuki.
[00:56.000 --> 00:58.000]  Czyli idę.
[00:58.000 --> 01:00.000]  Idę.
[01:00.000 --> 01:02.000]  Idę.
[01:02.000 --> 01:04.000]  Spasem.
[01:04.000 --> 01:06.000]  Spasem.
[01:06.000 --> 01:08.000]  Spasem.
[01:08.000 --> 01:10.000]  Pracy.
[01:10.000 --> 01:12.000]  Musiałoby być idę do pracy.
[01:12.000 --> 01:14.000]  Musiałoby być idę do pracy.
[01:14.000 --> 01:16.000]  Musiałoby być idę do pracy.
[01:16.000 --> 01:18.000]  Idę do pracy.
[01:18.000 --> 01:20.000]  Idę pieszo.
[01:20.000 --> 01:22.000]  Pieszo.
[01:22.000 --> 01:24.000]  Pieszo.
[01:24.000 --> 01:26.000]  Walking.
[01:26.000 --> 01:28.000]  Myję.
[01:28.000 --> 01:30.000]  Pieszo.
[01:30.000 --> 01:32.000]  Dzęby.
[01:32.000 --> 01:34.000]  Dzęby. Super.
[01:34.000 --> 01:36.000]  Znam świetnie.
[01:36.000 --> 01:38.000]  Znam świetnie.
[01:38.000 --> 01:40.000]  Gramatykę.
[01:40.000 --> 01:42.000]  Może być.
[01:42.000 --> 01:44.000]  Oglądam.
[01:44.000 --> 01:46.000]  Telewizję.
[01:46.000 --> 01:48.000]  Czytam.
[01:48.000 --> 01:50.000]  Psiążkę.
[01:50.000 --> 01:52.000]  Idę na.
[01:52.000 --> 01:54.000]  Spacer.
[01:54.000 --> 01:56.000]  Idę do.
[01:56.000 --> 01:58.000]  Do pracy.
[01:58.000 --> 02:00.000]  Wracam do.
[02:00.000 --> 02:02.000]  Wracam.
[02:02.000 --> 02:04.000]  Dom.
[02:04.000 --> 02:06.000]  Wracam do domu.
[02:06.000 --> 02:08.000]  A.
[02:08.000 --> 02:10.000]  Spotykam się z.
[02:10.000 --> 02:12.000]  Z.
[02:12.000 --> 02:14.000]  Przyjaciółką.
[02:14.000 --> 02:16.000]  Przyjaciółką.
[02:16.000 --> 02:18.000]  Przyjaciółką.
[02:18.000 --> 02:20.000]  Powiedz e.
[02:20.000 --> 02:22.000]  Spotykam się z przyjaciółką.
[02:22.000 --> 02:24.000]  A spotykam.
[02:24.000 --> 02:26.000]  Przyjaciółkę.
[02:26.000 --> 02:28.000]  Czyli.
[02:28.000 --> 02:30.000]  Jadę.
[02:32.000 --> 02:34.000]  Taksówką.
[02:34.000 --> 02:36.000]  Idę.
[02:36.000 --> 02:38.000]  Idę spać.
[02:38.000 --> 02:40.000]  Może być. Idę spać.
[02:40.000 --> 02:42.000]  Wiem.
[02:42.000 --> 02:44.000]  Zetem filmy.
[02:44.000 --> 02:46.000]  Dobra.
[02:46.000 --> 02:48.000]  Które słowo nie pasuje?
[02:48.000 --> 02:50.000]  Czyli zadanie drugie.
[02:50.000 --> 02:52.000]  Które nie pasuje?
[02:56.000 --> 02:58.000]  Które słowo nie pasuje?
[02:58.000 --> 03:00.000]  Które słowo nie pasuje?
[03:00.000 --> 03:02.000]  Siedemnasta.
[03:02.000 --> 03:04.000]  Szesnasta. To jest godzina.
[03:04.000 --> 03:06.000]  To jest godzina.
[03:06.000 --> 03:08.000]  I dziewiętnaście.
[03:08.000 --> 03:10.000]  I dziewiętnaście.
[03:10.000 --> 03:12.000]  Piętnaście. Tak.
[03:12.000 --> 03:14.000]  Piętnaście to jest numer.
[03:14.000 --> 03:16.000]  Piętnasta, szesnasta, siedemnasta.
[03:16.000 --> 03:18.000]  Godzina.
[03:18.000 --> 03:20.000]  W drugiej linijce.
[03:20.000 --> 03:22.000]  W drugiej linijce.
[03:26.000 --> 03:28.000]  Wy.
[03:28.000 --> 03:30.000]  Może być pół do trzeciej.
[03:30.000 --> 03:32.000]  Godzina.
[03:32.000 --> 03:34.000]  Dziesięć po trzeciej.
[03:34.000 --> 03:36.000]  Godzina.
[03:36.000 --> 03:38.000]  Dziesięć po trzeciej. Godzina.
[03:38.000 --> 03:40.000]  To też godzina.
[03:40.000 --> 03:42.000]  Ale wy tego nie używamy.
[03:42.000 --> 03:44.000]  Gdy mówimy o godzinie.
[03:44.000 --> 03:46.000]  Numer trzy.
[03:46.000 --> 03:48.000]  Numer trzy.
[03:48.000 --> 03:50.000]  Zwykle.
[03:50.000 --> 03:52.000]  Jeszcze raz.
[03:52.000 --> 03:54.000]  Zwykle.
[03:54.000 --> 03:56.000]  Pozostałe to są słowa.
[03:56.000 --> 03:58.000]  To są pory dnia.
[03:58.000 --> 04:00.000]  Numer cztery.
[04:08.000 --> 04:10.000]  W południe.
[04:10.000 --> 04:12.000]  W południe.
[04:12.000 --> 04:14.000]  To też jest pora dnia.
[04:14.000 --> 04:16.000]  Pozostałe to słowa, które opisują jak często.
[04:16.000 --> 04:18.000]  Numer pięć.
[04:20.000 --> 04:22.000]  Biorę.
[04:22.000 --> 04:24.000]  Piszesz.
[04:24.000 --> 04:26.000]  Piszę, piszę.
[04:26.000 --> 04:28.000]  Ja.
[04:28.000 --> 04:30.000]  Mnie jest pan.
[04:30.000 --> 04:32.000]  Czyli biorę, jadę, idę.
[04:32.000 --> 04:34.000]  Kto to mówi?
[04:34.000 --> 04:36.000]  Która to osoba?
[04:38.000 --> 04:40.000]  Ja.
[04:40.000 --> 04:42.000]  Czyli pierwsza osoba. Tak. A pisze?
[04:42.000 --> 04:44.000]  Te.
[04:44.000 --> 04:46.000]  Sorry. On, ona.
[04:46.000 --> 04:48.000]  On, ona. Dokładnie. Czyli trzecia osoba.
[04:50.000 --> 04:52.000]  Numer sześć.
[04:52.000 --> 04:54.000]  Ona.
[04:54.000 --> 04:56.000]  Ona. Super.
[04:56.000 --> 04:58.000]  Dzień.
[04:58.000 --> 05:00.000]  Dzień.
[05:00.000 --> 05:02.000]  No.
[05:02.000 --> 05:04.000]  Dzień.
[05:04.000 --> 05:06.000]  Wracać, iść, jechać. To są czasowniki.
[05:06.000 --> 05:08.000]  Tak. Dzień to rzeczowy.
[05:08.000 --> 05:10.000]  Numer osiem.
[05:10.000 --> 05:12.000]  Samochód.
[05:12.000 --> 05:14.000]  Pieszo, pieszo.
[05:14.000 --> 05:16.000]  Pieszo, pieszo.
[05:20.000 --> 05:22.000]  Tu samochód.
[05:22.000 --> 05:24.000]  A pieszo?
[05:24.000 --> 05:26.000]  Pieszo.
[05:26.000 --> 05:28.000]  Pieszo.
[05:28.000 --> 05:30.000]  Pieszo, a płodek.
[05:30.000 --> 05:32.000]  Czyli pieszo nie pasuje.
[05:32.000 --> 05:34.000]  Taksówka, samochód, tramwaj to są pojazdy.
[05:34.000 --> 05:36.000]  Numer dziewięć.
[05:44.000 --> 05:46.000]  O północy.
[05:46.000 --> 05:48.000]  O północy.
[05:48.000 --> 05:50.000]  Poniedziałek, wtorek, niedziela to są dni tygodnia.
[05:50.000 --> 05:52.000]  I ostatni.
[05:52.000 --> 05:54.000]  Numer dziesięć.
[05:54.000 --> 05:56.000]  Pięć.
[05:56.000 --> 05:58.000]  Pięć.
[05:58.000 --> 06:00.000]  Pięć.
[06:00.000 --> 06:02.000]  Może być dwudziesta godzina, ósma godzina, dziewiętnasta godzina, ale pięć to jest numer.
[06:02.000 --> 06:04.000]  No i dobra.
[06:04.000 --> 06:06.000]  Okej.
[06:06.000 --> 06:08.000]  Co teraz?
[06:08.000 --> 06:10.000]  Spróbujemy.
[06:10.000 --> 06:12.000]  Zobaczmy.
[06:12.000 --> 06:14.000]  Tu.
[06:14.000 --> 06:16.000]  Strona sześćdziesiąt pięć.
[06:18.000 --> 06:20.000]  Nie mam.
[06:20.000 --> 06:22.000]  Oj, oj.
[06:22.000 --> 06:24.000]  Przepraszam.
[06:24.000 --> 06:26.000]  Dzień dobry.
[06:26.000 --> 06:28.000]  No, my idziemy po...
[06:54.000 --> 06:56.000]  Dobra.
[06:56.000 --> 06:58.000]  Tylko proszę tu nie pisać.
[06:58.000 --> 07:00.000]  Tak, tak, tak.
[07:00.000 --> 07:02.000]  Czyli mamy stronę sześćdziesiąt pięć.
[07:02.000 --> 07:04.000]  I będziemy słuchać.
[07:04.000 --> 07:06.000]  O, oj, oj, oj.
[07:06.000 --> 07:08.000]  O, oj, oj, oj.
[07:08.000 --> 07:10.000]  O, oj, oj, oj.
[07:10.000 --> 07:12.000]  Ale masz to w tym...
[07:12.000 --> 07:14.000]  W tym...
[07:14.000 --> 07:16.000]  W tym?
[07:16.000 --> 07:18.000]  Tak.
[07:18.000 --> 07:20.000]  No, masz.
[07:20.000 --> 07:22.000]  Już tu jest.
[07:22.000 --> 07:24.000]  O, oj, oj, oj.
[07:24.000 --> 07:26.000]  O, oj, oj, oj.
[07:26.000 --> 07:28.000]  O, oj, oj, oj.
[07:28.000 --> 07:30.000]  O, oj, oj, oj.
[07:30.000 --> 07:32.000]  O, oj, oj, oj.
[07:32.000 --> 07:34.000]  Okej.
[07:34.000 --> 07:36.000]  Bo myślałam, że otrzymasz cały odcinek, nie tylko ten.
[07:36.000 --> 07:38.000]  Nie, nie, nie, tylko ten.
[07:38.000 --> 07:40.000]  Hmm.
[07:40.000 --> 07:42.000]  Okej.
[07:42.000 --> 07:44.000]  Nie ma problemu.
[07:44.000 --> 07:46.000]  Okej.
[07:46.000 --> 07:48.000]  Okej.
[07:48.000 --> 07:50.000]  Okej.
[07:50.000 --> 07:52.000]  Ok.
[07:52.000 --> 07:54.000]  Dziękuję za noty.
[07:54.000 --> 07:56.000]  Nie ma problemu.
[07:56.000 --> 07:58.000]  Przepraszam?
[07:58.000 --> 08:00.000]  Jakie jest ta karta?
[08:00.000 --> 08:02.000]  65.
[08:02.000 --> 08:04.000]  Bo muszę zapłacić za ten książek.
[08:04.000 --> 08:06.000]  O, okej.
[08:20.000 --> 08:49.980]  Zobaczcie jak to wygląda.
[08:50.000 --> 09:19.980]  Zobaczcie jak to wygląda.
[09:20.000 --> 09:23.020]  I teraz tak.
[09:24.720 --> 09:26.100]  To będzie trudne.
