[00:00.000 --> 00:04.000]  Komfortowa temperatura dla Ciebie.
[00:04.000 --> 00:08.000]  Daniel, a Ty? Jakie wakacje?
[00:08.000 --> 00:12.000]  Idę do Słowacji.
[00:12.000 --> 00:16.000]  Do Władysława.
[00:16.000 --> 00:22.000]  Idę do Władz...
[00:22.000 --> 00:24.000]  W Wenecji.
[00:24.000 --> 00:26.000]  Jeden...
[00:26.000 --> 00:28.000]  Dwa dni?
[00:28.000 --> 00:30.000]  Super.
[00:30.000 --> 00:34.000]  Wenecja jest ekstremalnie piękna.
[00:34.000 --> 00:36.000]  A w Wenecji?
[00:36.000 --> 00:38.000]  Turystyczna.
[00:38.000 --> 00:40.000]  Turystyczna.
[00:40.000 --> 00:42.000]  A Słowacja? Góry?
[00:42.000 --> 00:44.000]  Nie, Władysława.
[00:44.000 --> 00:46.000]  Nie, nie góry.
[00:46.000 --> 00:48.000]  Nie, nie Góry.
[00:48.000 --> 00:52.000]  Władysława nie, Słowacja to tak góry.
[00:52.000 --> 00:54.000]  Polacy...
[00:54.000 --> 00:56.000]  Nie wiem, jak to się nazywa Słowacja.
[00:56.000 --> 00:58.000]  Góry.
[00:58.000 --> 01:00.000]  Tak, Góry.
[01:00.000 --> 01:02.000]  Tak, tak, tak.
[01:02.000 --> 01:04.000]  Tak, tak, tak.
[01:04.000 --> 01:06.000]  Zakopane jest OK,
[01:06.000 --> 01:08.000]  ale Słowacja też.
[01:08.000 --> 01:10.000]  Tak, tak, tak.
[01:10.000 --> 01:12.000]  O, co mi było w między...
[01:12.000 --> 01:14.000]  Nie, nie ma problemu. Dzień dobry, dzień dobry.
[01:14.000 --> 01:16.000]  OK.
[01:16.000 --> 01:18.000]  Jestem Kinga, miłomi.
[01:18.000 --> 01:20.000]  A ja no.
[01:20.000 --> 01:22.000]  A ja no, miło Cię poznać. Proszę.
[01:22.000 --> 01:24.000]  To jest... O, mamy nową studentkę.
[01:24.000 --> 01:26.000]  Super.
[01:26.000 --> 01:28.000]  Zapraszamy.
[01:28.000 --> 01:30.000]  OK. Jest duża grupa, tak?
[01:30.000 --> 01:32.000]  Siedem, siedem studentów.
[01:32.000 --> 01:34.000]  Tak, tak.
[01:34.000 --> 01:36.000]  Duża grupa.
[01:36.000 --> 01:38.000]  I w Słowacji.
[01:38.000 --> 01:40.000]  Ale w Słowacji jest taniec.
[01:40.000 --> 01:42.000]  Dobrze.
[01:42.000 --> 01:44.000]  OK. Gawrza, a Ty masz
[01:44.000 --> 01:46.000]  relaks, wakacje?
[01:46.000 --> 01:48.000]  Nie? Intensywnie?
[01:48.000 --> 01:50.000]  Relaks, jest.
[01:50.000 --> 01:52.000]  Trochę wakacje.
[01:52.000 --> 01:54.000]  Słowackie.
[01:54.000 --> 01:56.000]  Podróż.
[01:56.000 --> 01:58.000]  Góry, hiking.
[01:58.000 --> 02:00.000]  Super. Chodzisz po górach, tak?
[02:00.000 --> 02:02.000]  Chodzisz po górach, tak.
[02:02.000 --> 02:04.000]  Super. OK.
[02:04.000 --> 02:06.000]  Siedmiu dni.
[02:06.000 --> 02:08.000]  Bardzo super. Pięknie.
[02:08.000 --> 02:10.000]  Bardzo super.
[02:10.000 --> 02:12.000]  Dobrze mówisz po polsku. Super.
[02:12.000 --> 02:14.000]  Super mówicie. Bardzo dobrze.
[02:14.000 --> 02:16.000]  A ja no, a Ty?
[02:16.000 --> 02:18.000]  Jak się masz?
[02:18.000 --> 02:20.000]  Jak się masz? Jak się masz?
[02:20.000 --> 02:22.000]  How are you?
[02:22.000 --> 02:24.000]  Dobrze? Dobrze.
[02:24.000 --> 02:26.000]  OK, to dobrze. Super.
[02:26.000 --> 02:28.000]  OK. No, to dzisiaj
[02:28.000 --> 02:30.000]  jest taki relaks temat.
[02:30.000 --> 02:32.000]  Temat relaks na start.
[02:32.000 --> 02:34.000]  Jedzenie.
[02:34.000 --> 02:36.000]  Co to jest jedzenie?
[02:36.000 --> 02:38.000]  Jedzenie. Food?
[02:38.000 --> 02:40.000]  Tak, generalnie jedzenie
[02:40.000 --> 02:42.000]  to jest food.
[02:42.000 --> 02:44.000]  Generalnie, tak. Jedzenie.
[02:44.000 --> 02:46.000]  To jest temat.
[02:46.000 --> 02:48.000]  Temat lekcji
[02:48.000 --> 02:50.000]  to jedzenie.
[02:50.000 --> 02:52.000]  Tak. Lubicie
[02:52.000 --> 02:54.000]  jedzenie?
[02:54.000 --> 02:56.000]  Tak. Tak.
[02:56.000 --> 02:58.000]  Lubię bardzo pizza.
[02:58.000 --> 03:00.000]  Pizza.
[03:00.000 --> 03:02.000]  Pizza.
[03:02.000 --> 03:04.000]  Pizza?
[03:04.000 --> 03:06.000]  What kind of?
[03:06.000 --> 03:08.000]  Ah, OK.
[03:08.000 --> 03:10.000]  Margarita.
[03:10.000 --> 03:12.000]  Margarita.
[03:12.000 --> 03:14.000]  Tak klasycznie margarita.
[03:14.000 --> 03:16.000]  Jest dobrze. Lubimy margaritę.
[03:16.000 --> 03:18.000]  Tak. OK.
[03:18.000 --> 03:20.000]  Lubicie jedzenie?
[03:20.000 --> 03:22.000]  Jaki kontekst?
[03:22.000 --> 03:24.000]  Hmm?
[03:24.000 --> 03:26.000]  Jaki kontekst?
[03:26.000 --> 03:28.000]  Do you like food?
[03:28.000 --> 03:30.000]  Generalne. Generalne.
[03:30.000 --> 03:32.000]  Do you like food?
[03:32.000 --> 03:34.000]  Jaka pizza? What kind of?
[03:34.000 --> 03:36.000]  Jaka?
[03:36.000 --> 03:38.000]  To zapiekanki.
[03:38.000 --> 03:40.000]  Zapiekanki, tak.
[03:40.000 --> 03:42.000]  Kimon lubi zapiekanki.
[03:42.000 --> 03:44.000]  Zapiekanki Kraków.
[03:44.000 --> 03:46.000]  Tu blisko.
[03:46.000 --> 03:48.000]  O, to są dobre.
[03:48.000 --> 03:50.000]  I pizzatopia.
[03:50.000 --> 03:52.000]  Pizzatopia jest bardzo popularna.
[03:52.000 --> 03:54.000]  OK.
[03:54.000 --> 03:56.000]  A ty lubisz jedzenie?
[03:56.000 --> 03:58.000]  Lubię kiełbasę.
[03:58.000 --> 04:00.000]  O, kiełbasa.
[04:00.000 --> 04:02.000]  Kiełbasa, kiełbasa, tak?
[04:02.000 --> 04:04.000]  Kiełbasa, OK.
[04:04.000 --> 04:06.000]  Taka kiełbasa.
[04:06.000 --> 04:08.000]  Tak?
[04:08.000 --> 04:10.000]  Dobrze, dobrze. Rozumiem.
[04:10.000 --> 04:12.000]  W porządku Miri.
[04:12.000 --> 04:14.000]  A ty co lubisz?
[04:14.000 --> 04:16.000]  Lubię pizza.
[04:16.000 --> 04:18.000]  Pizza?
[04:18.000 --> 04:20.000]  O, tak jak Ami.
[04:20.000 --> 04:22.000]  Pizza chyba lubię.
[04:22.000 --> 04:24.000]  Pizza peperoni. Ja tak samo.
[04:24.000 --> 04:26.000]  Mam tak samo. Też pizza peperoni.
[04:26.000 --> 04:28.000]  Margarita, OK.
[04:28.000 --> 04:30.000]  Peperoni super, super.
[04:30.000 --> 04:32.000]  No dobrze.
[04:32.000 --> 04:34.000]  Ekstra.
[04:34.000 --> 04:36.000]  To na start
[04:36.000 --> 04:38.000]  mamy minimalnie
[04:38.000 --> 04:40.000]  produkty.
[04:40.000 --> 04:42.000]  Tak? Produkty.
[04:42.000 --> 04:44.000]  To produkty typu
[04:44.000 --> 04:46.000]  śniadanie.
[04:46.000 --> 04:48.000]  Co to jest śniadanie?
[04:48.000 --> 04:50.000]  Breakfast.
[04:50.000 --> 04:52.000]  Tak.
[04:52.000 --> 04:54.000]  Śniadanie to jest breakfast.
[04:54.000 --> 04:56.000]  Szybkoszum?
[04:56.000 --> 04:58.000]  Soto znaczy temat.
[04:58.000 --> 05:00.000]  Temat.
[05:00.000 --> 05:02.000]  O, like topic.
[05:02.000 --> 05:04.000]  Or topic.
[05:04.000 --> 05:06.000]  Good, that you give me question.
[05:06.000 --> 05:08.000]  Super, super.
[05:08.000 --> 05:10.000]  To jest dobra strategia.
[05:10.000 --> 05:12.000]  Topic. Temat.
[05:12.000 --> 05:14.000]  Temat lekcji.
[05:14.000 --> 05:16.000]  O jedzeniu.
[05:16.000 --> 05:18.000]  I jest
[05:18.000 --> 05:20.000]  śniadanie.
[05:20.000 --> 05:22.000]  Breakfast.
[05:22.000 --> 05:24.000]  Co następne?
[05:24.000 --> 05:26.000]  Śniadanie.
[05:26.000 --> 05:28.000]  Jajko.
[05:28.000 --> 05:30.000]  Omlut.
[05:30.000 --> 05:32.000]  What will be after the breakfast?
[05:32.000 --> 05:34.000]  O, obiad.
[05:34.000 --> 05:36.000]  O, obiad.
[05:36.000 --> 05:38.000]  O, obiad.
[05:38.000 --> 05:40.000]  O, obiad.
[05:40.000 --> 05:42.000]  O, obiad.
[05:42.000 --> 05:44.000]  O, obiad.
[05:44.000 --> 05:46.000]  O, obiad.
[05:46.000 --> 05:48.000]  O, obiad.
[05:48.000 --> 05:50.000]  O, obiad.
[05:50.000 --> 05:52.000]  O, obiad.
[05:52.000 --> 05:54.000]  O, obiad.
[05:54.000 --> 05:56.000]  O, obiad.
[05:56.000 --> 05:58.000]  O, obiad.
[05:58.000 --> 06:00.000]  Na...
[06:00.000 --> 06:02.000]  Z ami.
[06:02.000 --> 06:06.000]  Kto nasz swo ville oglądał kiedy ofiarowałaś chyj pragnę do Maciejska na okręcie?
[06:06.000 --> 06:08.000]  WFC?
[06:08.000 --> 06:10.000]  No niech zdejmionesz jacykolwiek.
[06:10.000 --> 06:12.000]  Na ci sł�almy.
[06:12.000 --> 06:14.000]  No.
[06:14.000 --> 06:15.920] wض убийacht
[06:16.000 --> 06:18.000]  Yeah.
[06:18.000 --> 06:20.000]  Pipa.
[06:20.000 --> 06:22.000]  I to może być na przykład 4.
[06:22.000 --> 06:26.000]  To jest do rodziny, czy tylko ludzi.
[06:26.000 --> 06:28.000]  Obiad i śniadanie.
[06:28.000 --> 06:32.000]  Ostatni będzie kolacja.
[06:32.000 --> 06:34.000]  Bardzo dobrze.
[06:34.000 --> 06:37.000]  Śniadanie, obiad, kolacja.
[06:42.000 --> 06:44.000]  Lubicie śniadanie?
[06:44.000 --> 06:46.000]  Bardzo lubię śniadanie.
[06:46.000 --> 06:48.000]  To jest ważne.
[06:48.000 --> 06:50.000]  To jest ważne.
[06:50.000 --> 06:52.000]  To ważne.
[06:52.000 --> 06:54.000]  To ważne.
[06:54.000 --> 06:56.000]  Chyba mogę skończyć.
[06:56.000 --> 06:58.000]  Teraz nie powinienem powiedzieć skończyć.
[06:58.000 --> 07:00.000]  Może przynajmniej skończę śniadanie,
[07:00.000 --> 07:02.000]  ale pośpię i śniadanie.
[07:02.000 --> 07:04.000]  Niemożliwe.
[07:04.000 --> 07:06.000]  Niemożliwe.
[07:06.000 --> 07:08.000]  Niemożliwe.
[07:08.000 --> 07:10.000]  Niemożliwe.
[07:10.000 --> 07:14.000]  Jeśli powiecie możliwe,
[07:14.000 --> 07:16.000]  to będzie możliwe.
[07:16.000 --> 07:18.000]  A jeśli powiecie niemożliwe,
[07:18.000 --> 07:20.000]  to będzie możliwe.
[07:20.000 --> 07:22.000]  Niemożliwe, rozumiem.
[07:22.000 --> 07:24.000]  Śniadanie to bardzo ważne.
[07:24.000 --> 07:26.000]  Amin, a Ty lubisz śniadanie?
[07:26.000 --> 07:28.000]  Nie, nie.
[07:28.000 --> 07:30.000]  Piję kawę.
[07:30.000 --> 07:32.000]  Pijesz kawę.
[07:32.000 --> 07:34.000]  To śniadanie.
[07:34.000 --> 07:36.000]  I to śniadanie.
[07:36.000 --> 07:38.000]  Rozumiem. Ja mam trochę podobnie,
[07:38.000 --> 07:40.000]  ja też śniadanie nie,
[07:40.000 --> 07:42.000]  ale kawa, coś tam jest OK.
[07:42.000 --> 07:44.000]  Ale kawa, coś tam jest OK.
[07:44.000 --> 07:46.000]  W porządku.
[07:46.000 --> 07:48.000]  Amin, a Ty?
[07:48.000 --> 08:01.000]  Śniadanie? Nie. Też nie. Ok, jak Amir. No dobrze, super. I to są produkty typu śniadanie.
[08:01.000 --> 08:14.000]  Perfect options for example for breakfast. Śniadanie. Jest dużo opcji. I na przykład tu jest taka opcja. Co to jest?
