"C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Scripts\python.exe" "C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\transcribe.py"
C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Lib\site-packages\whisper\transcribe.py:132: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
[00:00.000 --> 00:19.820]  Dobra. Zaczynamy czas przeszły.
[00:20.740 --> 00:23.340]  Ktoś już zna czas przeszły?
[00:25.220 --> 00:25.620]  Chyba nie.
[00:25.620 --> 00:30.480]  A, proszę powiedzieć, przeszły.
[00:30.740 --> 00:32.100]  Czas przeszły.
[00:33.920 --> 00:36.000]  Znamy czas przededniejszy.
[00:36.620 --> 00:40.840]  A czas przeszły.
[00:42.340 --> 00:47.620]  No i w jakim sposób zrobimy czas przeszły?
[00:48.340 --> 00:49.680]  To zaraz dowiemy.
[00:54.620 --> 00:55.600]  Zobaczmy.
[00:55.620 --> 00:57.120]  Zobaczmy zadanie pierwsze.
[00:58.700 --> 01:05.180]  W zadaniu pierwszym mamy dwie rozmowy.
[01:05.940 --> 01:07.480]  Two conversations.
[01:08.680 --> 01:14.180]  Musimy uzupełnić te rozmowy słowami z ramki,
[01:14.720 --> 01:16.620]  ale będziemy tego słuchać.
[01:17.640 --> 01:18.520]  To jest mój myśl.
[01:18.520 --> 01:19.520]  Zobaczmy.
[01:21.940 --> 01:25.520]  Zobaczmy, co mamy z ramki.
[01:25.620 --> 01:27.620]  Zobaczmy, co mamy tutaj.
[01:30.620 --> 01:32.620]  Tak. Czy mogę tam jeszcze czytać?
[01:32.620 --> 01:35.620]  Co mamy z ramki? Co mamy tutaj?
[01:35.620 --> 01:37.620]  Czy mówisz to na głośno?
[01:37.620 --> 01:43.620]  Muszę uzupełnić te rozmowy.
[01:43.620 --> 01:46.620]  I w środku?
[01:46.620 --> 01:48.620]  Zgadza się.
[01:48.620 --> 01:50.620]  Zgadza się.
[01:50.620 --> 01:52.620]  Zgadza się.
[01:52.620 --> 01:53.620]  Zgadza się.
[01:53.620 --> 01:54.620]  Zgadza się.
[01:54.620 --> 01:56.620]  Zgadza się.
[01:56.620 --> 02:04.140]  Tak, w środku.
[02:04.140 --> 02:06.640]  Więc Co?
[02:06.660 --> 02:13.800]  To jest element powiedzenia się powieści z ramki na przew projectsive,
[02:13.800 --> 02:14.860]  tak.
[02:14.860 --> 02:18.620] NG poprawia na to charakter num品ami Melodyроде,
[02:18.640 --> 02:20.540]  Burdę not management,
[02:21.620 --> 02:23.640]  stara się,
[02:23.640 --> 02:24.520]  nie ma tych,
[02:24.520 --> 02:30.520]  Było.
[02:30.520 --> 02:34.520]  Jadłeś.
[02:34.520 --> 02:40.520]  Oglądałem.
[02:40.520 --> 02:48.520]  Spacerowałem.
[02:48.520 --> 02:54.520]  Miałam.
[02:54.520 --> 02:58.520]  Byłaś.
[02:58.520 --> 03:03.520]  Planowałaś.
[03:03.520 --> 03:10.520]  Super. Planowałaś.
[03:10.520 --> 03:16.520]  No dobra.
[03:16.520 --> 03:17.520]  Cześć.
[03:17.520 --> 03:18.520]  Cześć.
[03:18.520 --> 03:23.520]  Czyli to mamy w pierwszym dialogu, pierwszej rozmowie.
[03:23.520 --> 03:27.520]  Może pan przeczytać tą drugą ramkę.
[03:27.520 --> 03:31.520]  Jakie czasowniki mamy w tej drugiej ramce?
[03:31.520 --> 03:33.520]  Nie rozumiem.
[03:33.520 --> 03:35.520]  Czy możesz to przeczytać?
[03:35.520 --> 03:39.520]  Tak. Mam pytanie. Co to znaczy dzwonić?
[03:39.520 --> 03:40.520]  Dzwonić?
[03:40.520 --> 03:41.520]  Dzień dobry.
[03:41.520 --> 03:43.520]  Dzień dobry. Dzwonić po telefon.
[03:43.520 --> 03:44.520]  O, telefon.
[03:44.520 --> 03:46.520]  Ok, dobrze.
[03:46.520 --> 03:47.520]  Super.
[03:48.520 --> 03:49.520]  Tak.
[03:49.520 --> 03:50.520]  Dzień dobry.
[03:50.520 --> 03:51.520]  Dzień dobry.
[03:51.520 --> 03:53.520]  Ok, dwie godziny.
[03:53.520 --> 03:56.520]  Ja się dzwonię do mnie.
[03:56.520 --> 04:00.520]  Rozmawiam z córką.
[04:00.520 --> 04:03.520]  Dzwonię.
[04:03.520 --> 04:11.520]  Miałem...
[04:11.520 --> 04:12.520]  Chodzi...
[04:12.520 --> 04:13.520]  Chodzi...
[04:13.520 --> 04:14.520]  Chodzi...
[04:14.520 --> 04:15.520]  Chodzi...
[04:15.520 --> 04:16.520]  Chodzi...
[04:16.520 --> 04:17.520]  Chodzi...
[04:17.520 --> 04:19.520]  rozmawiałem,
[04:19.520 --> 04:21.520]  pozywał,
[04:21.520 --> 04:23.520]  widzieliśmy,
[04:23.520 --> 04:25.520]  uczyłem się.
[04:25.520 --> 04:27.520]  Ok, super.
[04:27.520 --> 04:29.520]  Czy wszystkie czasowniki
[04:29.520 --> 04:31.520]  rozumiemy?
[04:31.520 --> 04:33.520]  Nie. Czego nie rozumiemy?
[04:37.520 --> 04:39.520]  Jadłem jest
