"C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Scripts\python.exe" "C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\transcribe.py"
C:\MY_BACKUP\LearningStuff\Udemy Full Stack\newGithubHostedSite\rgbk21.github.io\rgbk21.github.io\.venv\Lib\site-packages\whisper\transcribe.py:132: UserWarning: FP16 is not supported on CPU; using FP32 instead
  warnings.warn("FP16 is not supported on CPU; using FP32 instead")
[00:00.000 --> 00:02.000]  Ja mam ten.
[00:02.000 --> 00:04.000]  Okej, to ten.
[00:04.000 --> 00:06.000]  To ten.
[00:06.000 --> 00:08.000]  Tak, tak.
[00:16.000 --> 00:18.000]  Katarzyna albo Robert?
[00:18.000 --> 00:20.000]  Ja znowu.
[00:24.000 --> 00:26.000]  Ja będę z Katarzyną, to wyglądało bardziej trudno.
[00:26.000 --> 00:28.000]  Okej.
[00:42.000 --> 00:44.000]  Jeszcze raz?
[00:44.000 --> 00:46.000]  A, ja, ja, ja.
[00:46.000 --> 00:48.000]  Ja nie jestem pewien co to jest.
[00:56.000 --> 00:58.000]  Jest sam, kryśli.
[00:58.000 --> 01:00.000]  Okej, prawie.
[01:00.000 --> 01:02.000]  Prawie, prawie.
[01:08.000 --> 01:12.000]  Na spacer z psem.
[01:12.000 --> 01:14.000]  I to będzie narzędnik.
[01:16.000 --> 01:18.000]  Ona nie ma psa.
[01:18.000 --> 01:20.000]  Okej.
[01:20.000 --> 01:22.000]  To tak było dobrze.
[01:22.000 --> 01:24.000]  I to jest dopełniacz.
[01:24.000 --> 01:26.000]  I ostatnie zdanie?
[01:26.000 --> 01:28.000]  To jest sam, kryśli.
[01:28.000 --> 01:30.000]  To jest pies.
[01:30.000 --> 01:32.000]  O, pies.
[01:32.000 --> 01:34.000]  Aha.
[01:34.000 --> 01:36.000]  I nabłik.
[01:36.000 --> 01:38.000]  But,
[01:38.000 --> 01:40.000]  we, so,
[01:40.000 --> 01:42.000]  if I understand correctly,
[01:42.000 --> 01:44.000]  there is no of
[01:44.000 --> 01:46.000]  in Polish, right?
[01:46.000 --> 01:48.000]  So you use
[01:48.000 --> 01:50.000]  dopełniacz to basically say that
[01:50.000 --> 01:52.000]  something belongs to something,
[01:52.000 --> 01:54.000]  like Adam's pen
[01:54.000 --> 01:56.000]  would be,
[01:56.000 --> 01:58.000]  oh god,
[01:58.000 --> 02:00.000]  like pen,
[02:00.000 --> 02:02.000]  pies, like for example,
[02:02.000 --> 02:04.000]  like, so
[02:04.000 --> 02:06.000]  this should be dopełniacz, nie?
[02:06.000 --> 02:08.000]  To jest dopełniacz.
[02:08.000 --> 02:10.000]  So why did you write miągnik?
[02:10.000 --> 02:12.000]  Because,
[02:12.000 --> 02:14.000]  to jest miągnik, to jest narzędnik,
[02:14.000 --> 02:16.000]  to jest dopełniacz, to jest
[02:16.000 --> 02:18.000]  aaa...
[02:18.000 --> 02:20.000]  O, pies will be miągnik, but kryśli will be dopełniacz.
[02:20.000 --> 02:22.000]  Tak. Kryśli jest
[02:22.000 --> 02:24.000]  dopełniacz.
[02:24.000 --> 02:26.000]  Okej. Ponieważ zawsze, jak jest
[02:26.000 --> 02:28.000]  to jest,
[02:28.000 --> 02:30.000]  zawsze jest miągnik.
[02:30.000 --> 02:32.000]  Aaa, that is also true, yeah.
[02:32.000 --> 02:34.000]  Dobra.
[02:34.000 --> 02:36.000]  Aha, i jeszcze
[02:36.000 --> 02:38.000]  początek, sam początek tego zdania.
[02:38.000 --> 02:40.000]  The very beginning of this
[02:40.000 --> 02:42.000]  sentence, of this Wednesday.
[02:46.000 --> 02:48.000]  Could you read it
[02:48.000 --> 02:50.000]  again? About Wednesday?
[02:50.000 --> 02:52.000]  Sure.
[02:52.000 --> 02:54.000]  Czartek.
[02:54.000 --> 02:56.000]  Wednesday.
[02:56.000 --> 02:58.000]  Środda.
[02:58.000 --> 03:00.000]  Katarzyna poszła
[03:00.000 --> 03:02.000]  na spacer ze sem...
[03:02.000 --> 03:04.000]  Kiedy?
[03:04.000 --> 03:06.000]  Okej. Rano.
[03:06.000 --> 03:08.000]  Ze sem
[03:08.000 --> 03:10.000]  w rano?
[03:12.000 --> 03:14.000]  Hmm...
[03:14.000 --> 03:16.000]  Aha, ze...
[03:20.000 --> 03:22.000]  Środdam.
[03:22.000 --> 03:24.000]  Aaa,
[03:24.000 --> 03:26.000]  no, I changed it for other ones, I forgot for this one.
[03:26.000 --> 03:28.000]  Okej, sure.
[03:28.000 --> 03:30.000]  And also this one.
[03:30.000 --> 03:32.000]  OK.
[03:32.000 --> 03:34.000]  Dopełniacz.
[03:34.000 --> 03:36.000]  Okej, co jeszcze?
[03:36.000 --> 03:38.000]  Hmm...
[03:38.000 --> 03:40.000]  Czwartek.
[03:40.000 --> 03:42.000]  Dwa czwartek, Katarzyna,
[03:42.000 --> 03:44.000]  si goto wybawa,
[03:44.000 --> 03:46.000]  zero deputu.
[03:46.000 --> 03:48.000]  Okej.
[03:48.000 --> 03:50.000]  Dobrze. Is there a better word for
[03:50.000 --> 03:52.000]  si goto wybawa?
[03:52.000 --> 03:54.000]  Like to prepare, she prepares
