[00:00.000 --> 00:02.000]  Nie, co?
[00:02.000 --> 00:06.000]  Możesz być jeszcze wersja jestem Mary.
[00:06.000 --> 00:07.000]  Jestem Mary, okej.
[00:07.000 --> 00:08.000]  Jasne.
[00:08.000 --> 00:10.000]  No proszę spytać Pana.
[00:12.000 --> 00:14.000]  Jak masz na imię?
[00:14.000 --> 00:15.000]  Jak masz na imię?
[00:15.000 --> 00:18.000]  Nazywam się Gaurav.
[00:18.000 --> 00:19.000]  Gaurav.
[00:19.000 --> 00:21.000]  To jest imię czy nazwisko?
[00:23.000 --> 00:24.000]  Imię?
[00:24.000 --> 00:25.000]  Aha.
[00:25.000 --> 00:32.000]  Bo jeśli mamy tę syntezę nazywam się, to wtedy imię, nazwisko, czy tylko nazwisko.
[00:32.000 --> 00:38.000]  Dlatego Pan powiedział nazywam się i nie wiedziałam czy to imię czy...
[00:38.000 --> 00:40.000]  Gaurav Raya.
[00:40.000 --> 00:43.000]  Super, tak. I wtedy to jest okej z tym nazywam się.
[00:43.000 --> 00:45.000]  No to proszę zapytać Pana.
[00:45.000 --> 00:48.000]  Jak się nazywa?
[00:48.000 --> 00:49.000]  Sz.
[00:49.000 --> 00:50.000]  Nazywasz?
[00:50.000 --> 00:51.000]  Sz.
[00:51.000 --> 00:52.000]  Jak się nazywasz?
[00:52.000 --> 00:54.000]  Albo oficjalnie jak się Pani nazywa?
[00:54.000 --> 00:55.000]  Jak się Pani nazywa?
[00:55.000 --> 00:56.000]  Tak, tak, tak.
[00:56.000 --> 00:57.000]  Tak, tak, tak.
[00:57.000 --> 00:58.000]  Czyli jak się nazywasz?
[00:58.000 --> 00:59.000]  Tak, tak, tak.
[00:59.000 --> 01:00.000]  Albo...
[01:00.000 --> 01:01.000]  Rozumiem.
[01:01.000 --> 01:02.000]  Dzień dobry.
[01:02.000 --> 01:03.000]  Dzień dobry.
[01:03.000 --> 01:04.000]  Prosimy.
[01:04.000 --> 01:05.000]  Albo oficjalnie jak się Pani nazywa?
[01:05.000 --> 01:06.000]  Jak się Pani nazywa?
[01:06.000 --> 01:07.000]  Nazywał się Ayawet.
[01:07.000 --> 01:08.000]  Tak.
[01:08.000 --> 01:09.000]  Tak.
[01:09.000 --> 01:10.000]  Tak.
[01:10.000 --> 01:11.000]  Tak.
[01:11.000 --> 01:12.000]  Tak.
[01:12.000 --> 01:13.000]  Tak.
[01:13.000 --> 01:14.000]  Tak.
[01:14.000 --> 01:15.000]  Tak.
[01:15.000 --> 01:16.000]  Tak.
[01:16.000 --> 01:17.000]  Tak.
[01:17.000 --> 01:18.000]  Tak.
[01:18.000 --> 01:19.000]  Tak.
[01:19.000 --> 01:20.000]  Tak.
[01:20.000 --> 01:21.000]  Tak.
[01:21.000 --> 01:22.000]  Tak.
[01:22.000 --> 01:23.000]  Tak.
[01:23.000 --> 01:24.000]  Tak.
[01:24.000 --> 01:25.000]  Tak.
[01:25.000 --> 01:26.000]  Tak.
[01:26.000 --> 01:27.000]  Tak.
[01:27.000 --> 01:28.000]  Tak.
[01:28.000 --> 01:28.080]  Komunikacja liebe 我的
[01:28.080 --> 01:29.280]  I unfinished question.
[01:29.280 --> 01:30.280]  Jak się nazywasz?
[01:30.280 --> 01:33.280]  Jak się nazywasz?
[01:33.280 --> 01:33.640]  dünyaw 저희가 dije
[01:33.640 --> 01:33.940]  Cans będziemy
[01:33.940 --> 01:34.400]  cepat
[01:34.400 --> 01:35.000]  daar
[01:35.000 --> 01:35.440]  Tambître
[01:35.440 --> 01:54.000] 食
[01:54.000 --> 01:57.000]  A skąd jesteś?
[01:57.000 --> 01:58.000]  Jestem w Zendii.
[01:58.000 --> 02:02.000]  Skąd jesteś?
[02:02.000 --> 02:04.000]  Jestem w Jaropolu.
[02:04.000 --> 02:08.000]  Super, jestem w Jaropolu. No to świetnie.
[02:08.000 --> 02:13.000]  To ja zapytam teraz, co pani robi w Polsce?
[02:13.000 --> 02:15.000]  Co pani robi w Polsce?
[02:15.000 --> 02:22.000]  Ja mieszkam w Polsce, jestem Polką, jestem nauczycielką języka niemieckiego i polskiego.
[02:22.000 --> 02:27.000]  A co pani robi?
[02:27.000 --> 02:28.000]  No spokojnie.
[02:28.000 --> 02:33.000]  Robić to jest...
[02:33.000 --> 02:41.000]  Czy pani pracuje w Polsce? Pracować to work?
[02:41.000 --> 02:43.000]  Pozostań, my husband i team.
[02:43.000 --> 02:49.000]  No to super, no to mój mąż, husband to jest mąż.
[02:49.000 --> 02:50.000]  Ok.
[02:50.000 --> 02:52.000]  I teraz mój mąż.
[02:52.000 --> 02:57.000]  My husband, mój mąż pracuje w Polsce.
[02:57.000 --> 03:00.000]  Cała zdania.
[03:00.000 --> 03:04.000]  Mój mąż, czyli mamy...
[03:04.000 --> 03:16.000]  Mój mąż pracuje, pracuje w Polsce.
[03:16.000 --> 03:21.000]  No i to jest answer forty questions.
[03:21.000 --> 03:22.000]  I to jest answer forty questions.
[03:22.000 --> 03:25.000]  Co pani robi w Polsce?
[03:25.000 --> 03:31.000]  Mąż pracuje, a pani uczy się polskiego na kursie.
[03:31.000 --> 03:33.000]  Tak?
[03:33.000 --> 03:35.000]  Tak.
[03:35.000 --> 03:38.000]  Czyli rozumie pani to zdanie?
[03:38.000 --> 03:44.000]  My husband works in Poland.
[03:44.000 --> 03:49.000]  A my question was, what are you doing in Poland?
[03:49.000 --> 03:59.000]  Mieszkam, bo mój mąż pracuje w Polsce.
[03:59.000 --> 04:01.000]  Tak, tak, to już jest... mamy wszystko.
[04:01.000 --> 04:04.000]  Co pan robi w Polsce?
[04:04.000 --> 04:06.000]  Jestem informatykiem.
[04:06.000 --> 04:09.000]  Pracuję w Polsce.
[04:09.000 --> 04:13.000]  Super. Jak długo? Jak długo pan pracuje?
[04:13.000 --> 04:17.000]  Pracuję w Polsce dla 3 lata.
[04:17.000 --> 04:19.000]  Nie trzeba dla.
[04:19.000 --> 04:21.000]  A, lat, 3 lata.
[04:21.000 --> 04:23.000]  Pracuję w Polsce 3 lata.
[04:23.000 --> 04:24.000]  3 lata.
[04:24.000 --> 04:25.000]  Tak, i to jest super.
[04:25.000 --> 04:28.000]  Without any preposition in front of this 3.
[04:28.000 --> 04:31.000]  Pracuję w Polsce 3 lata. Świetnie.
[04:31.000 --> 04:35.000]  Czy pan też pracuje w tej samej firmie?
[04:35.000 --> 04:36.000]  Nie.
[04:36.000 --> 04:37.000]  Nie?
[04:37.000 --> 04:38.000]  Absolutnie nie.
[04:38.000 --> 04:40.000]  Gdzie pan pracuje?
[04:40.000 --> 04:41.000]  Nie.
[04:41.000 --> 04:42.000]  Nie pracuje pan?
[04:42.000 --> 04:44.000]  Nie. Bo studiuję w Polsce.
[04:44.000 --> 04:46.000]  Jasne. A co pan studiuje?
[04:46.000 --> 04:49.000]  Informatyki.
[04:49.000 --> 04:53.000]  To kolega za parę lat. Jasne.
[04:53.000 --> 04:54.000]  Będzie.
[04:54.000 --> 04:59.000]  Będzie kolega, jasne. A gdzie pan pracuje? Przepraszam, w studium.
[04:59.000 --> 05:03.000]  How do you say? I will study.
[05:03.000 --> 05:05.000]  Będę studiować, tak?
[05:05.000 --> 05:08.000]  Tak. Będę studiować w Agierach.
[05:08.000 --> 05:12.000]  Agierach. Świetny wybór. Brawo.
[05:12.000 --> 05:14.000]  Jaki musi mieć pan poziom?
[05:14.000 --> 05:16.000]  A2? B1?
[05:16.000 --> 05:17.000]  B1.
[05:17.000 --> 05:18.000]  Język polski?
[05:18.000 --> 05:19.000]  Tak.
[05:19.000 --> 05:20.000]  AGH.
[05:20.000 --> 05:23.000]  I jaki poziom? A2? B1? B2?
[05:23.000 --> 05:26.000]  What is the level of Polish they need?
[05:26.000 --> 05:30.000]  No, they don't need it because I'm learning English.
[05:30.000 --> 05:34.000]  Jasne, jasne. Czyli polski jest prywatnym inwestycją.
[05:34.000 --> 05:35.000]  Tak.
[05:35.000 --> 05:39.000]  Świetnie, świetnie. A pani? Co pani robi w Polsce?
[05:39.000 --> 05:40.000]  Ja pracuję.
[05:40.000 --> 05:41.000]  A gdzie?
[05:41.000 --> 05:42.000]  Gdzie?
[05:42.000 --> 05:43.000]  W Polsce.
[05:43.000 --> 05:44.000]  W Polsce.
[05:44.000 --> 05:45.000]  A gdzie?
[05:45.000 --> 05:46.000]  Gdzie?
[05:46.000 --> 05:47.000]  Tak, gdzie?
[05:47.000 --> 05:48.000]  W domu.
[05:48.000 --> 05:49.000]  W domu?
[05:49.000 --> 05:50.000]  Tak, tak.
[05:50.000 --> 05:55.000]  A to ciekawe. Nie w Japonii, tylko w Polsce w domu.
[05:55.000 --> 05:56.000]  Tak.
[05:56.000 --> 05:59.000]  Dlaczego nie? Jasna sprawa. Potrzebuje pani języka polskiego do pracy, czy nie?
[05:59.000 --> 06:00.000]  Nie.
[06:00.000 --> 06:01.000]  Jasne. Czyli też inwestycja prywatna.
[06:01.000 --> 06:02.000]  Tak.
[06:02.000 --> 06:03.000]  Tak.
[06:03.000 --> 06:04.000]  Tak.
[06:04.000 --> 06:05.000]  Tak.
[06:05.000 --> 06:06.000]  Tak.
[06:06.000 --> 06:07.000]  Tak.
[06:07.000 --> 06:08.000]  Tak.
[06:08.000 --> 06:09.000]  Tak.
[06:09.000 --> 06:10.000]  Tak.
[06:10.000 --> 06:11.000]  Tak.
[06:11.000 --> 06:12.000]  Tak.
[06:12.000 --> 06:13.000]  Tak.
[06:13.000 --> 06:14.000]  Tak.
[06:14.000 --> 06:15.000]  Tak.
[06:15.000 --> 06:16.000]  Tak.
[06:16.000 --> 06:17.000]  Tak.
[06:17.000 --> 06:18.000]  Mam na myśli półset.
[06:18.000 --> 06:34.000]  Mam na myśli cztero.
[06:34.000 --> 06:36.040]  Jest Hai Kien Hai?
[06:36.040 --> 06:37.060]  tak.
[06:37.060 --> 06:38.060]  Tak?
[06:38.060 --> 06:39.340]  Tak.
[06:39.340 --> 06:41.520]  Reprezentuję, entrepression fait paie, est bien fait routine.
[06:41.520 --> 06:42.520]  Był.
[06:42.520 --> 06:43.520]  Fait?...
[06:43.520 --> 06:50.520]  W tym momencie nie wiem tego kontekstu. Pani robi ceramikę?
[06:50.520 --> 06:51.520]  Tak.
[06:51.520 --> 06:57.520]  Okej, świetnie. Bardzo dobrze. Teraz będzie coś takiego.
[07:04.520 --> 07:05.520]  Co to jest?
[07:07.520 --> 07:08.520]  Gotówka.
[07:08.520 --> 07:15.520]  Gotówka, brawo, brawo. To jest gotówka. Dużo czy mało?
[07:15.520 --> 07:16.520]  Dużo.
[07:16.520 --> 07:27.520]  Dużo, dużo, dużo gotówki. Jasne. No to teraz będziemy powtarzać. Każdy dostanie trochę, dobrze? Proszę bardzo.
[07:27.520 --> 07:28.520]  Dzięki.
[07:28.520 --> 07:37.520]  Wszystko ma Pani. Proszę bardzo. Dla Pana. I proszę bardzo. Dla Pana. I dla Pana. Super.
[07:37.520 --> 07:38.520]  No to...
[07:38.520 --> 07:45.520]  No to będziecie liczyć teraz, dobrze? Ile ma? Pięknie Pan już sobie sortuje.
[07:45.520 --> 07:56.520]  Tak. Ile? Ile macie pieniędzy? Pieniądze, czyli super powiedzieliście gotówka, albo pieniądze. I moją pytanie jest ile?
[07:56.520 --> 07:57.520]  Ile gościnnie?
[07:57.520 --> 07:58.520]  Ile macie?
[07:58.520 --> 07:59.520]  O.
[08:01.520 --> 08:03.520]  Chcę zobaczyć jak liczycie.
[08:08.520 --> 08:10.520]  Więc nie.
[08:10.520 --> 08:12.520]  Widzicie, czy jeszcze Mesław?
[08:13.520 --> 08:14.520]  Tak.
[08:14.520 --> 08:16.520]  Gdy Greekously, wtedy.
[08:16.520 --> 08:19.520]  Ale też kiedyś go tyli.
